numero,descricao,bug,tech_debt,repo,ultima_alteracao,ideia,para_rodar,em_progresso,para_homologacao,em_homologacao,em_producao,aprendemos,cycle_time,lead_time
32,Atualizar para Gradle 2.4,false,true,servicosgovbr/editor-guia-de-servicos,05/20/15 17:40,05/20/15 17:40,05/20/15 17:40,05/20/15 17:40,05/20/15 17:40,05/20/15 17:40,05/20/15 17:40,05/20/15 17:40,1,1
31,Inverter a lógica do contador de caracteres,false,false,servicosgovbr/editor-guia-de-servicos,05/20/15 14:04,05/19/15 10:55,05/19/15 10:55,05/19/15 10:55,05/19/15 10:55,05/19/15 10:55,05/19/15 10:55,,1,
30,Estrutura de funcionamento do Editor,false,false,servicosgovbr/editor-guia-de-servicos,05/15/15 14:57,05/15/15 14:57,05/15/15 14:57,05/15/15 14:57,05/15/15 14:57,05/15/15 14:57,05/15/15 14:57,,1,
29,Definição dos principais fluxos de serviços,false,false,servicosgovbr/editor-guia-de-servicos,05/15/15 14:59,05/15/15 14:49,05/15/15 14:50,05/15/15 14:50,05/15/15 14:50,05/15/15 14:50,05/15/15 14:50,,1,
28,Editar um serviço existente,false,false,servicosgovbr/editor-guia-de-servicos,05/15/15 15:59,05/13/15 15:02,05/13/15 15:03,05/13/15 15:03,05/13/15 15:03,05/13/15 15:03,05/13/15 15:03,,1,
27,Adicionar contador de caracteres,false,false,servicosgovbr/editor-guia-de-servicos,05/15/15 10:45,05/11/15 17:10,05/11/15 17:10,05/11/15 17:10,05/11/15 17:10,05/11/15 17:10,05/11/15 17:10,,1,
26,Permitir cadastro incompleto,false,false,servicosgovbr/editor-guia-de-servicos,05/20/15 10:59,05/03/15 23:54,05/03/15 23:54,05/03/15 23:54,05/03/15 23:54,05/03/15 23:54,05/03/15 23:54,,1,
25,Melhorias no passo-a-passo,false,false,servicosgovbr/editor-guia-de-servicos,05/19/15 14:01,05/03/15 23:53,05/03/15 23:53,05/03/15 23:53,05/03/15 23:53,05/03/15 23:53,05/03/15 23:53,,1,
24,Editor de texto rico,false,false,servicosgovbr/editor-guia-de-servicos,05/20/15 15:30,05/03/15 23:52,05/03/15 23:52,05/03/15 23:52,05/03/15 23:52,05/03/15 23:52,05/03/15 23:52,,1,
23,Passo-a-passo não deve ser obrigatório,false,false,servicosgovbr/editor-guia-de-servicos,05/15/15 16:43,05/03/15 23:52,05/03/15 23:52,05/03/15 23:52,05/03/15 23:52,05/03/15 23:52,05/03/15 23:52,,1,
22,"Melhorias em ""custo estimado""",false,false,servicosgovbr/editor-guia-de-servicos,05/14/15 14:15,05/03/15 23:49,05/03/15 23:49,05/03/15 23:49,05/03/15 23:49,05/03/15 23:49,05/03/15 23:49,,1,
21,Informação adicional dos passos,false,false,servicosgovbr/editor-guia-de-servicos,05/19/15 14:01,05/03/15 23:49,05/03/15 23:49,05/03/15 23:49,05/03/15 23:49,05/03/15 23:49,05/03/15 23:49,,1,
20,Dividir requisitos em passos,false,false,servicosgovbr/editor-guia-de-servicos,05/19/15 14:01,05/03/15 23:48,05/03/15 23:48,05/03/15 23:48,05/03/15 23:48,05/03/15 23:48,05/03/15 23:48,,1,
19,Revisão ortográfica,false,false,servicosgovbr/editor-guia-de-servicos,05/20/15 14:03,05/03/15 23:45,05/03/15 23:45,05/03/15 23:45,05/03/15 23:45,05/03/15 23:45,05/03/15 23:45,,1,
18,Feedback Geral do Jonathas,false,false,servicosgovbr/editor-guia-de-servicos,05/05/15 14:01,04/30/15 16:44,04/30/15 16:52,04/30/15 16:52,04/30/15 16:52,04/30/15 16:52,04/30/15 16:52,,1,
17,Feedback Geral do Fabricio,false,false,servicosgovbr/editor-guia-de-servicos,05/15/15 11:04,04/30/15 16:36,04/30/15 16:36,04/30/15 16:36,04/30/15 16:36,04/30/15 16:36,04/30/15 16:36,,1,
16,Script para cycle time & lead time para o projeto do editor,false,false,servicosgovbr/editor-guia-de-servicos,05/12/15 08:35,04/27/15 14:00,04/30/15 18:50,04/30/15 18:50,04/30/15 18:50,04/30/15 18:50,04/30/15 18:50,,1,
15,Cadastro e autenticação de novos usuários,false,false,servicosgovbr/editor-guia-de-servicos,05/04/15 00:13,04/20/15 15:42,04/20/15 15:45,04/20/15 15:45,04/20/15 15:45,04/20/15 15:45,04/20/15 15:45,,1,
14,Política de backup do ElasticSearch,false,false,servicosgovbr/editor-guia-de-servicos,04/17/15 16:23,04/17/15 14:16,04/17/15 16:22,04/17/15 16:22,04/17/15 16:22,04/17/15 16:22,04/17/15 16:22,04/17/15 16:22,1,1
13,Ajustes no formulário,false,false,servicosgovbr/editor-guia-de-servicos,05/15/15 15:25,04/14/15 16:00,04/14/15 16:00,04/14/15 16:00,04/14/15 16:00,04/14/15 16:00,04/14/15 16:00,,1,
12,Mover XSD para repo de cartas,false,false,servicosgovbr/editor-guia-de-servicos,05/01/15 12:42,04/13/15 16:27,04/14/15 10:03,04/14/15 10:03,04/14/15 10:03,04/14/15 10:03,04/14/15 10:03,,1,
11,Adicionar tema básico,false,false,servicosgovbr/editor-guia-de-servicos,05/12/15 08:27,04/13/15 11:11,04/13/15 11:12,04/13/15 11:12,04/13/15 11:12,04/13/15 11:12,04/13/15 11:12,,1,
10,Deployment na EC2,false,false,servicosgovbr/editor-guia-de-servicos,05/01/15 12:42,04/11/15 16:49,04/14/15 10:44,04/14/15 10:44,04/14/15 10:44,04/14/15 10:44,04/14/15 10:44,,1,
9,Validar resposta do formulário,false,false,servicosgovbr/editor-guia-de-servicos,05/04/15 00:14,04/09/15 17:05,04/10/15 19:25,04/10/15 19:25,04/10/15 19:25,04/10/15 19:25,04/10/15 19:25,,1,
8,Salvar resposta do formulário,false,false,servicosgovbr/editor-guia-de-servicos,05/13/15 14:59,04/09/15 17:04,05/03/15 23:59,05/03/15 23:59,05/03/15 23:59,05/03/15 23:59,05/03/15 23:59,,1,
7,XSD -> HTML (formulário),false,false,servicosgovbr/editor-guia-de-servicos,05/04/15 00:13,04/09/15 17:03,05/04/15 00:13,05/04/15 00:13,05/04/15 00:13,05/04/15 00:13,05/04/15 00:13,,1,
6,Autenticação e autorização,false,false,servicosgovbr/editor-guia-de-servicos,05/14/15 09:52,04/09/15 17:00,04/16/15 10:44,04/16/15 10:44,04/16/15 10:44,04/16/15 10:44,04/16/15 10:44,,1,
5,Infraestrutura da aplicação,false,false,servicosgovbr/editor-guia-de-servicos,05/12/15 08:25,04/09/15 17:00,04/10/15 14:36,04/10/15 14:36,04/10/15 14:36,04/10/15 14:36,04/10/15 14:36,,1,
4,Importar serviços legados,false,false,servicosgovbr/editor-guia-de-servicos,04/09/15 16:53,04/09/15 16:49,04/09/15 16:53,04/09/15 16:53,04/09/15 16:53,04/09/15 16:53,04/09/15 16:53,04/09/15 16:53,1,1
3,Infra persistência dos XML dos serviços,false,false,servicosgovbr/editor-guia-de-servicos,05/15/15 15:59,04/09/15 16:47,05/04/15 00:14,05/04/15 00:14,05/04/15 00:14,05/04/15 00:14,05/04/15 00:14,,1,
2,Adicionar docker com Piwik no Vagrant para testes de desenvolvedor,false,false,servicosgovbr/editor-guia-de-servicos,04/09/15 14:44,04/09/15 14:10,04/09/15 14:44,04/09/15 14:44,04/09/15 14:44,04/09/15 14:44,04/09/15 14:44,04/09/15 14:44,1,1
1,Primeira versão do XML,false,false,servicosgovbr/editor-guia-de-servicos,05/01/15 12:42,03/30/15 16:36,03/30/15 16:36,03/30/15 16:36,03/30/15 16:36,03/30/15 16:36,03/30/15 16:36,,1,
