numero,descricao,bug,tech_debt,repo,ultima_alteracao,ideia,para_rodar,em_progresso,para_homologacao,em_homologacao,em_producao,aprendemos,cycle_time,lead_time
321,Validação de contraste,false,false,servicosgovbr/guia-de-servicos,05/21/15 16:28,05/21/15 16:28,05/21/15 16:28,05/21/15 16:28,05/21/15 16:28,05/21/15 16:28,05/21/15 16:28,,1,
320,Revisão de padrões de texto,false,true,servicosgovbr/guia-de-servicos,05/21/15 16:04,05/21/15 16:03,05/21/15 16:03,05/21/15 16:03,05/21/15 16:03,05/21/15 16:03,05/21/15 16:03,,1,
319,Breve descrição nos itens em destaque da página principal,false,false,servicosgovbr/guia-de-servicos,05/21/15 14:34,05/21/15 14:33,05/21/15 14:34,05/21/15 14:34,05/21/15 14:34,05/21/15 14:34,05/21/15 14:34,,1,
318,Checklist para Produção,false,false,servicosgovbr/guia-de-servicos,05/21/15 16:33,05/21/15 14:23,05/21/15 14:23,05/21/15 14:23,05/21/15 14:23,05/21/15 14:23,05/21/15 14:23,,1,
317,Reduzir qtd de serviços em destaque,true,false,servicosgovbr/guia-de-servicos,05/21/15 16:28,05/20/15 16:17,05/20/15 16:17,05/20/15 16:17,05/20/15 16:17,05/20/15 16:17,05/20/15 16:17,,1,
316,Destaque para linha da vida selecionada,false,false,servicosgovbr/guia-de-servicos,05/20/15 15:47,05/20/15 15:47,05/20/15 15:47,05/20/15 15:47,05/20/15 15:47,05/20/15 15:47,05/20/15 15:47,,1,
315,Texto final da página dos órgãos,true,false,servicosgovbr/guia-de-servicos,05/21/15 16:28,05/20/15 15:39,05/20/15 15:39,05/20/15 15:39,05/20/15 15:39,05/20/15 15:39,05/20/15 15:39,,1,
314,Renomear linhas da vida,true,false,servicosgovbr/guia-de-servicos,05/21/15 16:31,05/20/15 15:18,05/20/15 15:18,05/20/15 15:18,05/20/15 15:18,05/20/15 15:18,05/20/15 15:18,05/20/15 17:36,1,1
313,Atualiza og:description - #311,false,false,servicosgovbr/guia-de-servicos,05/20/15 15:11,05/20/15 15:09,05/20/15 15:09,05/20/15 15:09,05/20/15 15:09,05/20/15 15:09,05/20/15 15:09,05/20/15 15:11,1,1
312,Colocar as siglas nos nomes dos órgãos,true,false,servicosgovbr/guia-de-servicos,05/20/15 16:09,05/20/15 15:05,05/20/15 15:05,05/20/15 15:05,05/20/15 15:05,05/20/15 15:05,05/20/15 15:05,05/20/15 16:09,1,1
311,Atualizar texto do feedback,false,false,servicosgovbr/guia-de-servicos,05/20/15 15:18,05/20/15 15:02,05/20/15 15:02,05/20/15 15:02,05/20/15 15:02,05/20/15 15:02,05/20/15 15:02,05/20/15 15:18,1,1
310,Atualizar Gradle p/ 2.4,false,true,servicosgovbr/guia-de-servicos,05/20/15 17:39,05/20/15 14:56,05/20/15 14:56,05/20/15 14:56,05/20/15 14:56,05/20/15 14:56,05/20/15 14:56,05/20/15 17:39,1,1
309,Adicionando informações sobre o PGMEI,false,false,servicosgovbr/guia-de-servicos,05/20/15 15:16,05/20/15 14:33,05/20/15 14:40,05/20/15 14:40,05/20/15 14:40,05/20/15 14:40,05/20/15 14:40,05/20/15 14:40,1,1
308,Estruturando a descrição do FGTS em parágrafos,false,false,servicosgovbr/guia-de-servicos,05/20/15 15:09,05/20/15 14:33,05/20/15 14:42,05/20/15 14:42,05/20/15 14:42,05/20/15 14:42,05/20/15 14:42,05/20/15 14:42,1,1
307,Removendo início de texto duplicado.,false,false,servicosgovbr/guia-de-servicos,05/20/15 14:39,05/20/15 11:53,05/20/15 14:39,05/20/15 14:39,05/20/15 14:39,05/20/15 14:39,05/20/15 14:39,05/20/15 14:39,1,1
306,Links da SRF quebrados,true,false,servicosgovbr/guia-de-servicos,05/20/15 14:02,05/20/15 10:11,05/20/15 10:11,05/20/15 10:11,05/20/15 10:11,05/20/15 10:11,05/20/15 10:11,05/20/15 10:17,1,1
305,Links quebrados,true,false,servicosgovbr/guia-de-servicos,05/20/15 14:02,05/19/15 17:05,05/19/15 17:05,05/19/15 17:05,05/19/15 17:05,05/19/15 17:05,05/19/15 17:05,05/20/15 10:12,1,1
304,Ajustar navegação por tab,true,false,servicosgovbr/guia-de-servicos,05/20/15 10:43,05/19/15 17:02,05/19/15 17:02,05/19/15 17:02,05/19/15 17:02,05/19/15 17:02,05/19/15 17:02,,1,
303,Pedir feedback sobre a página do serviço,false,false,servicosgovbr/guia-de-servicos,05/19/15 10:35,05/19/15 10:35,05/19/15 10:35,05/19/15 10:35,05/19/15 10:35,05/19/15 10:35,05/19/15 10:35,,1,
302,Links com font-size diferentes,true,false,servicosgovbr/guia-de-servicos,05/20/15 17:46,05/19/15 10:01,05/19/15 10:39,05/19/15 10:39,05/19/15 10:39,05/19/15 10:39,05/19/15 10:39,05/20/15 17:32,1,1
301,Multas de trânsito,false,false,servicosgovbr/guia-de-servicos,05/19/15 12:09,05/19/15 09:57,05/19/15 12:09,05/19/15 12:09,05/19/15 12:09,05/19/15 12:09,05/19/15 12:09,05/19/15 12:09,1,1
300,Muda letras maúsculas no meio de sentenças para letras minúsculas,false,false,servicosgovbr/guia-de-servicos,05/19/15 10:37,05/19/15 09:37,05/19/15 10:37,05/19/15 10:37,05/19/15 10:37,05/19/15 10:37,05/19/15 10:37,05/19/15 10:37,1,1
299,Corrige erro de capitalização no salario-familia,false,false,servicosgovbr/guia-de-servicos,05/18/15 23:14,05/18/15 23:09,05/18/15 23:14,05/18/15 23:14,05/18/15 23:14,05/18/15 23:14,05/18/15 23:14,05/18/15 23:14,1,1
298,Padronização de entrelinha,false,false,servicosgovbr/guia-de-servicos,05/19/15 14:06,05/18/15 19:40,05/18/15 19:40,05/18/15 19:40,05/18/15 19:40,05/18/15 19:40,05/18/15 19:40,,1,
297,"Menu ""Categorias"" está com margens",true,false,servicosgovbr/guia-de-servicos,05/20/15 14:05,05/18/15 17:18,05/18/15 17:18,05/18/15 17:18,05/18/15 17:18,05/18/15 17:18,05/18/15 17:18,05/20/15 14:05,1,2
296,"""Bem-vindo"" da página inicial deveria ser <p>",true,false,servicosgovbr/guia-de-servicos,05/18/15 23:40,05/18/15 12:49,05/18/15 12:49,05/18/15 12:49,05/18/15 12:49,05/18/15 12:49,05/18/15 12:49,,1,
295,Resultados de busca não estão aparecendo,true,false,servicosgovbr/guia-de-servicos,05/18/15 14:06,05/18/15 12:43,05/18/15 12:43,05/18/15 12:43,05/18/15 12:43,05/18/15 12:43,05/18/15 12:43,05/18/15 13:45,1,1
294,Cabeçalho está maior do que deveria na página de feedback,true,false,servicosgovbr/guia-de-servicos,05/19/15 14:01,05/18/15 11:45,05/18/15 11:45,05/18/15 11:45,05/18/15 11:45,05/18/15 11:45,05/18/15 11:45,05/19/15 14:01,1,1
293,Adicionar header Content-Security-Policy,true,false,servicosgovbr/guia-de-servicos,05/18/15 14:06,05/15/15 17:35,05/15/15 17:35,05/15/15 17:35,05/15/15 17:35,05/15/15 17:35,05/15/15 17:35,05/15/15 20:34,1,1
292,Adicionar header X-Content-Type-Options,true,false,servicosgovbr/guia-de-servicos,05/18/15 14:05,05/15/15 17:34,05/15/15 17:34,05/15/15 17:34,05/15/15 17:34,05/15/15 17:34,05/15/15 17:34,05/15/15 20:34,1,1
291,Adicionar header X-XSS-Protection,true,false,servicosgovbr/guia-de-servicos,05/18/15 14:05,05/15/15 17:34,05/15/15 17:34,05/15/15 17:34,05/15/15 17:34,05/15/15 17:34,05/15/15 17:34,05/15/15 20:34,1,1
290,Adicionar header X-Frame-Options,true,false,servicosgovbr/guia-de-servicos,05/18/15 14:05,05/15/15 17:33,05/15/15 17:33,05/15/15 17:33,05/15/15 17:33,05/15/15 17:33,05/15/15 17:33,05/15/15 20:34,1,1
289,/health respondendo DOWN,false,false,servicosgovbr/guia-de-servicos,05/15/15 12:43,05/15/15 11:14,05/15/15 11:47,05/15/15 11:47,05/15/15 11:47,05/15/15 11:47,05/15/15 11:47,05/15/15 12:43,1,1
288,Traduzir o texto na página de ouvidoria,false,false,servicosgovbr/guia-de-servicos,05/15/15 11:37,05/15/15 11:09,05/15/15 11:37,05/15/15 11:37,05/15/15 11:37,05/15/15 11:37,05/15/15 11:37,05/15/15 11:37,1,1
